,Suburb,Business.Type,Name.of.Business,Latitude,Longitude,Address,Phone.Number
75,Bentleigh East,Legal Services,Peninsula Community Legal Centre,-37.9293821,145.0665662,,
76,Bentleigh East,Legal Services,Prior Law,-37.920464,145.055052,,
77,Bentleigh East,Legal Services,Horsfield & Associates Lawyers,-37.9295934,145.0644974,,
78,Bentleigh East,Legal Services,Prior Law,-37.9205489,145.0550371,,
80,Berwick,Legal Services,berwicklegal,-38.014499,145.345375,"10 Panoramic Terrace, Berwick VIC 3806",(03) 9769 3699
81,Berwick,Legal Services,Berwick Conveyancing,-38.02995,145.346093,"1a/10 Blackburne Square, Berwick VIC 3806",(03) 9769 4436
83,Berwick,Legal Services,First Class Legal,-38.033977,145.345783,"4 Gloucester Ave, Berwick VIC 3806",1300 956 321
84,Berwick,Legal Services,Tinyeagle,-38.050626,145.339235,"25 Pioneer Ct, Berwick VIC 3806",
85,Berwick,Legal Services,Maxiom Injury Lawyers,-38.04261,145.345612,"48 Kangan Dr, Berwick VIC 3806",1800 853 085
86,Berwick,Legal Services,Dreary Pty Ltd.,-38.062808,145.339066,"1 Oshea Rd, Berwick VIC 3806",(03) 9702 1733
87,Berwick,Family law attorney,Malkin Lawyers,48.428362,-123.358788,"3/28-32 Gloucester Ave, Berwick VIC 3806",(03) 9768 9658
88,Berwick,Divorce Lawyer,Just Family Law - Berwick,-38.031407,145.344638,"54 High St, Berwick VIC 3806",(03) 9793 7888
89,Berwick,Law firm,Moondarra Legal,-38.064726,145.330013,"64 Moondarra Dr, Berwick VIC 3806",(03) 9702 2153
90,Berwick,Solicitor,Wollerman Shacklock Lawyers,-38.037172,145.348469,"Level 2/8 Gloucester Ave, Berwick VIC 3806",(03) 9707 1155
91,Sandringham - Black Rock,Legal Services,Burrell Family Law,-37.9756801,145.016503,,
92,Blackburn,Legal Services,First Class Legal,-37.820031,145.1532688,,
93,Blackburn,Legal Services,Bowlt Commercial Lawyers,-37.8194568,145.1540951,,
94,Blackburn,Legal Services,Perry Weston,-37.8197484,145.1505502,,
95,Blackburn,Legal Services,Mccracken & Mccracken,-37.819469,145.154435,,
96,Blackburn,Legal Services,Vlahos & Associates Lawyers,-37.8183998,145.16188,,
97,Blackburn,Legal Services,Mahons with Yuncken & Yuncken Lawyers,-37.816114,145.157002,,
99,Blackburn South,Legal Services,To Legal,-37.832072,145.148224,,
101,Boronia,Legal Services,Eastern Community Legal Centre,-37.8615296,145.2888117,,
102,Boronia,Legal Services,Eugene Naidoo & Associates,-37.859701,145.2886968,,
103,Boronia,Legal Services,Parkers Legal,-37.861332,145.302765,,
104,Boronia,Legal Services,Mackinnon Jacobs Lawyers,-37.862117,145.283118,,
105,Boronia,Legal Services,TEAM LAW,-37.8543629,145.2975923,,
111,Boronia,Legal Services,Metropolitan Conveyancing Services,-37.8625828,145.2878509,,
112,Boronia,Legal Services,G a&C J Law,-37.850433,145.30339,,
113,Boronia,Legal Services,David Wilkinson & Co,-37.8449215,145.2993384,,
114,Boronia,Legal Services,Robert Wood and Associates,-37.8597861,145.2881983,,
115,Boronia,Legal Services,Robert I. Wood,-37.8597997,145.2882112,,
116,Boronia,Legal Services,Hounslow And Associates Lawyers,-37.8614632,145.2754211,,
117,Boronia,Legal Services,Hounslow & Associates,-37.861971,145.283121,,
118,Box Hill,Legal Services,Eastern Community Legal Centre,-37.8196234,145.1269531,,
119,Box Hill,Legal Services,Lilliputian PTY Ltd.,-37.8208876,145.1235581,,
120,Box Hill,Legal Services,Garry A Nicholson Legal Practitioner,-37.821049,145.126355,,
121,Box Hill,Legal Services,Castle Legal,-37.8207404,145.1229368,,
122,Box Hill,Legal Services,Goodman Group Lawyers Box Hill,-37.817455,145.115904,,
123,Box Hill,Legal Services,Apac Legal,-37.818608,145.122497,,
124,Box Hill,Legal Services,Liberal Legal,-37.81853,145.120505,,
125,Box Hill,Legal Services,Oakfair Lawyers,-37.82035,145.124322,,
126,Box Hill,Legal Services,FRANCIS LIM,-37.8185164,145.1245251,,
136,Box Hill North,Legal Services,Fraser Barrett Baird Lawyers,-37.8079882,145.1405036,,
137,Box Hill North,Legal Services,JOHN O'BRIEN & ASSOCIATES,-37.813318,145.13491,,
139,Brighton,Legal Services,Buchanan Legal Services Pty Ltd,-37.905521,145.001346,,
141,Brighton,Legal Services,Construction Expert Services - Expert Witness and Dispute Resolution,-37.9059446,145.0044671,,
142,Brighton,Legal Services,RMS Lawyers,-37.9044472,144.9952013,,
143,Brighton,Legal Services,CE Family Lawyers,-37.905026,144.9994241,,
144,Brighton,Legal Services,Lipman James,-37.916191,144.995826,,
145,Brighton,Legal Services,Lloyd Wright Legal,-37.9048743,144.9999548,,
146,Brighton,Legal Services,Bayside Collaborative,-37.90464,144.999408,,
147,Brighton,Legal Services,Goodman Group Lawyers Brighton,-37.9056469,144.9994383,,
148,Brighton East,Legal Services,J.P. Cahill - Criminal Law Firm & Experts Melbourne,-37.9251079,145.0199929,,
149,Brighton East,Legal Services,Ethnico Conveyancing & Financial Services,-37.9179114,145.0234137,,
150,Broadmeadows,Legal Services,Victoria Legal Aid,-37.6827425,144.9194211,,
151,Broadmeadows,Legal Services,George Douglas & Co Pty,-37.6826982,144.9146181,,
153,Brunswick,Legal Services,De Marchi and Associates,-37.768217,144.961636,,
154,Brunswick,Legal Services,Russo and Russo,-37.7743787,144.9610034,,
156,Bulleen,Legal Services,Petra Legal,-37.7694284,145.0962639,,
157,Bundoora,Legal Services,Callahans Lawyers,-37.6944295,145.0600647,,
158,Bundoora,Legal Services,Rick Norwood Legal,-37.697566,145.0782428,,
159,Bundoora,Legal Services,M&M Conveyancing Services Pty Ltd,-37.701187,145.065452,,
160,Bundoora,Legal Services,ML Law Hub,-37.6797198,145.0714448,,
161,Bundoora,Legal Services,Doug Parker & Associates Lawyers,-37.712058,145.057198,,
165,Bundoora,Legal Services,Alan Burnes,-37.700362,145.059153,,
166,Bunyip - Garfield,Legal Services,King Legal Group,-38.098173,145.720855,,
167,Burnley,Legal Services,Easy Name Change,-37.828519,145.008959,,
169,Camberwell,Legal Services,JH Legal,-37.8485369,145.0811239,,
170,Camberwell,Legal Services,Barretts Lawyers,-37.844088,145.054065,,
171,Camberwell,Legal Services,Henley Legal Public Notary,-37.8503375,145.093374,,
172,Camberwell,Legal Services,Phalanx Legal,-37.8455483,145.0543725,,
177,Campbellfield - Coolaroo,Legal Services,Zeno Lawyers,-37.6667423,144.9478139,,
178,Canterbury,Legal Services,Sky Legal Lawyers,-37.826756,145.0867081,,
180,Capel Sound,Legal Services,Sam Kelly's Conveyancing,-38.3753918,144.8729154,,
182,Carlton North - Princes Hill,Legal Services,Visa Law Immigration Lawyers,-37.7997834,144.967794,,
183,Carlton North - Princes Hill,Legal Services,Office of the Public Advocate,-37.8021777,144.9671638,,
186,Carnegie,Legal Services,Gotcha Process Serving Agency,-37.8950779,145.0548502,,
187,Caroline Springs,Legal Services,Lily Safarewicz Family Lawyers,-37.7342035,144.7416579,,
188,Caroline Springs,Legal Services,Calder Conveyancing Pty Ltd,-37.7298036,144.7420291,,
189,Caroline Springs,Legal Services,Lake Street Lawyers,-37.729813,144.7421067,,
190,Caroline Springs,Legal Services,Better Place Australia Caroline Springs,-37.7111395,144.738443,,
193,Carrum - Patterson Lakes,Legal Services,Relationship Resolution,-38.076456,145.122261,,
194,Carrum Downs,Legal Services,Peninsula Injury Lawyers,-38.0950314,145.157721,,
195,Carrum Downs,Legal Services,Complete Legal,-38.0975353,145.1706992,,
196,Carrum Downs,Legal Services,"Nithyananda Vedic Cultural, Arts & Education Center",-38.0863971,145.1820817,,
197,Caulfield,Legal Services,Rickards Legal,-37.8865819,145.0202072,,
198,Caulfield North,Legal Services,Goldberg Family Law Mediation,-37.8726859,145.0225976,,
199,Caulfield North,Legal Services,Ellinson Legal,-37.866762,145.02635,,
200,Caulfield North,Legal Services,Ashmor Legal Pty Ltd,-37.8745527,145.0245583,,
201,Caulfield North,Legal Services,Cyngler Kaye Levy Lawyers,-37.872392,145.023864,,
202,Caulfield North,Legal Services,BOND NATIONAL - Negotiating for best outcomes,-37.874409,145.024669,,
208,Caulfield North,Legal Services,BANCROFT LAWYERS,-37.8790201,145.0154375,,
209,Caulfield North,Legal Services,Bridges Immigration Law Solutions,-37.8798291,145.0230739,,
210,Chelsea Heights,Legal Services,Victory Law,-38.03369,145.13474,,
211,Cheltenham - Highett,Legal Services,Lewis & Weir,-37.965442,145.067269,,
212,Cheltenham - Highett,Legal Services,Better Place Australia,-37.9657201,145.057407,,
213,Cheltenham - Highett,Legal Services,Kingston Lawyers,-37.967276,145.056127,,
214,Cheltenham - Highett,Legal Services,Legal E Docs Pty Ltd,-37.963069,145.029723,,
215,Clayton,Legal Services,Monash Law Clinics - Clayton,-37.912265,145.128092,,
216,Clayton,Legal Services,MOLS,-37.9096739,145.1282565,,
219,Clayton,Legal Services,"MJHC Legal, Lawyers",-37.910536,145.141526,,
220,Clayton,Legal Services,Portelli & Co,-37.9240084,145.1203535,,
221,Clayton South,Legal Services,Ã¥Ã’Ã¥Â´ÃŒÂ_Ã¥Ã’ÃŒÂ_ÃŒÃ¡Ã¥Ã’ÃŒÂ¢Ã¥ÃÅ Ã¥Ã”_ÃŒÃùÃ¥Ã•ÃŒÃ¡ÃŒ_Ã¥Ã’ÃŒÂ¢ÃŒÃ¢ Trinity A Law,-37.9295174,145.1223277,,
223,Clifton Hill,Legal Services,Sinclair + May,-37.788777,144.991494,,
225,Clyde North,,Prestige Lawyers,-38.080137,145.346364,,
226,Coburg,Legal Services,MLG Lawyers - Melbourne Legal Group,-37.7514415,144.9650354,,
227,Coburg,Legal Services,Brunswick Lawyers,-37.745471,144.966086,,
228,Coburg,Legal Services,Go To Court Lawyers,-37.7487142,144.9655338,,
229,Coburg,Legal Services,Lynette Smyth,-37.745827,144.977815,,
230,Coburg,Legal Services,Haitch Legal,-37.7432804,144.9658064,,
231,Collingwood,Legal Services,Refugee & Immigration Legal Centre Inc.,-37.8003364,144.9855822,,
232,Collingwood,Legal Services,Persuit Legal Outsourcing Melbourne HQ- Pursuit Legal,-37.804335,144.985786,,
235,Cowes,,"Leonard & Associates, Lawyers",-38.4508234,145.2386392,,
236,Cowes,,David Luscombe & Associates,-38.449969,145.239509,,
237,Cowes,,Justice Road Farm - First Release,-38.462125,145.209131,,
238,Craigieburn,Legal Services,G&G Legal,-37.5980173,144.9405307,,
239,Craigieburn,Legal Services,Atlas Legal,-37.5908806,144.9173717,,
240,Craigieburn,Legal Services,Allskills Recruitment & Migration Services,-37.5895516,144.8946771,,
241,Craigieburn,Legal Services,Atlas Legal,-37.5908727,144.9173716,,
242,Craigieburn,Legal Services,Maurice Blackburn Lawyers,-37.5945671,144.914238,,
243,Craigieburn,Legal Services,PMP Conveyancing Services,-37.5717139,144.9132006,,
244,Craigieburn,Legal Services,Northern Conveyancing Services,-37.572395,144.912291,,
245,Craigieburn,Legal Services,VT Conveyancing,-37.5719291,144.9179324,,
246,Craigieburn,Legal Services,"Brilliant Migration Club Pty LTD - Migration & Student Visa Consultant in Craigieburn, Melbourne.",-37.603187,144.931218,,
247,Craigieburn,Legal Services,Satluj Immigration Consultancy Services Pty Ltd,-37.605789,144.919759,,
248,Craigieburn,Legal Services,Arnold Thomas & Becker Lawyers,-37.5986362,144.9391682,,
252,Cranbourne,Legal Services,Sandercock & Cowie,-38.113539,145.284866,,
253,Cranbourne,Legal Services,Process All-Over,-38.1099995,145.2828575,,
254,Cranbourne,Legal Services,Ryan Carlisle Thomas Lawyers,-38.1100477,145.2835666,,
255,Cranbourne,Legal Services,Goodman Group Lawyers Cranbourne,-38.110424,145.283542,,
256,Cranbourne,Legal Services,First Class Legal,-38.1110742,145.2834093,,
257,Cranbourne,Legal Services,Gorman & Hannan,-38.11156,145.2829813,,
258,Cranbourne,,Waters Lawyers,-38.1129254,145.2845901,,
259,Cranbourne,,Slater and Gordon Lawyers,-38.1101291,145.2836812,,
260,Cranbourne,,Lisa Davies & Associates - Cranbourne,-38.1104265,145.283874,,
261,Cranbourne,,Zaparas Lawyers Cranbourne Office,-38.1084112,145.2836471,,
262,Cranbourne,,We Care Conveyancing - Cranbourne,-38.1114764,145.2829973,,
263,Cranbourne,,Seachange Conveyancing,-38.1109298,145.2830878,,
264,Cranbourne North,Legal Services,Melbourne International Lawyers,-38.084848,145.317505,,
265,Cranbourne West,Legal Services,Frank Giummarra,-38.098439,145.255044,,
266,Croydon Hills - Warranwood,Legal Services,Remington Wright & Co,-37.795195,145.28221,,
267,Croydon Hills - Warranwood,Legal Services,Croydon Conveyancing Services,-37.793858,145.281882,,
268,Croydon Hills - Warranwood,Legal Services,CCS,-37.7932381,145.2823006,,
269,Croydon Hills - Warranwood,Legal Services,Integra Strata Management,-37.796322,145.281036,,
270,Croydon Hills - Warranwood,Legal Services,Jenny L Stephenson Lawyer,-37.801844,145.27648,,
271,Croydon Hills - Warranwood,Legal Services,Just Law | Building Dispute Lawyer,-37.7981493,145.2810698,,
272,Croydon Hills - Warranwood,Legal Services,Belmar Conveyancing Services,-37.7975521,145.2805455,,
275,Croydon Hills - Warranwood,Legal Services,DCG Lawyers & Consultants,-37.787252,145.275086,,
278,Croydon Hills - Warranwood,Legal Services,South East Lawyers,-37.7938935,145.2824376,,
279,Croydon Hills - Warranwood,Legal Services,Forrest Legal,-37.794182,145.281841,,
283,Croydon Hills - Warranwood,Legal Services,Lawyers Conveyancing,-37.795949,145.282383,,
284,Dandenong,Legal Services,Victoria Legal Aid,-37.9877663,145.2114743,,
285,Dandenong,Legal Services,Southport Community Legal Service,-37.996887,145.2278037,,
288,Dandenong,Legal Services,Australian Immigration & Citizenship Centre,-37.986865,145.215407,,
289,Dandenong,Legal Services,Victory Law,-37.9892072,145.2164118,,
290,Dandenong,Legal Services,James Dowsley & Associates Pty Ltd,-37.989498,145.216142,,
291,Dandenong,Legal Services,Slink & Keating,-37.989677,145.216081,,
292,Dandenong,Legal Services,LEXTON LEGAL,-37.9824344,145.2111439,,
293,Dandenong,Legal Services,Farris Legal,-37.9868252,145.2123097,,
294,Dandenong,Legal Services,Belleli King & Associates,-37.988891,145.215264,,
295,Dandenong,Legal Services,Warna Legal,-37.9838122,145.2200733,,
296,Dandenong,Legal Services,Dandenong Family Lawyers,-37.9847459,145.2112998,,
297,Dandenong,Legal Services,Axis Lawyers,-37.988483,145.214864,,
298,Dandenong,Legal Services,Taft Lawyers,-37.9842245,145.2116803,,
299,Dandenong,Legal Services,Dribbin & Brown Criminal Lawyers,-37.9896685,145.2158013,,
300,Dandenong,Legal Services,Continental Migration Centre,-37.9877814,145.2135994,,
301,Dandenong,Legal Services,A. B. Natoli Lawyers,-37.985514,145.210988,,
302,Dandenong,Legal Services,Wheeler Family Law,-37.984624,145.211215,,
303,Dandenong,Legal Services,Go To Court Lawyers,-37.9854008,145.2138126,,
304,Dandenong,Legal Services,Ram & Associates,-37.987511,145.216296,,
305,Dandenong,Legal Services,Just Family Law,-37.9847277,145.211098,,
306,Dandenong,Legal Services,Secure Conveyancing Services,-37.9869767,145.2024897,,
307,Dandenong,Legal Services,Fleming & Rhoden Lawyers,-37.987541,145.210571,,
308,Dandenong,Legal Services,Roberts Migration,-37.985396,145.221707,,
309,Dandenong,Legal Services,State Trustees,-37.9904389,145.214283,,
310,Dandenong,Legal Services,Quintessential Lawyers,-37.9869033,145.2124448,,
311,Dandenong,Legal Services,Ressan Lawyers,-37.9873217,145.2165351,,
312,Dandenong,Legal Services,Melbourne International Lawyers,-37.9825392,145.2110172,,
313,Dandenong,Legal Services,F. R. Monotti and Co.,-37.9863604,145.2121454,,
314,Dandenong,Legal Services,SB Solicitors + Notary,-37.9898557,145.2142225,,
315,Dandenong,Legal Services,Chris Woods & Associates,-37.9846856,145.2112491,,
316,Dandenong North,Legal Services,Legoll Legal Practitioners,-37.969,145.215392,,
317,Dandenong North,Legal Services,Waverley Legal & Conveyancing,-37.949617,145.198158,,
318,Dandenong South,Legal Services,Avoid Bankruptcy,-38.033022,145.192068,,
319,Darley,Legal Services,Jillian Thomas,-37.64173,144.427854,,
320,Deepdene,Legal Services,Eastern Bridge,-37.8109178,145.0673236,,
322,Deer Park - Derrimut,Legal Services,AAAA Low Cost Conveyancing,-37.770536,144.773495,,
323,Deer Park - Derrimut,Legal Services,Angelowitsch & Associates,-37.7704704,144.7745198,,
324,Wattle Glen - Diamond Creek,Legal Services,Ian Robertson Legal & Conveyancing,-37.669182,145.154987,,
325,Wattle Glen - Diamond Creek,Legal Services,De Kever Spaulding Lawyers,-37.6691824,145.1549866,,
327,Wattle Glen - Diamond Creek,Legal Services,McCubbin Ian J & Assoc,-37.67325,145.151459,,
328,Dingley Village,Legal Services,Dingley Conveyancing Services,-37.9825903,145.1312826,,
329,Doncaster,Legal Services,COOPER AND SANDERS LEGAL,-37.7833195,145.1027846,,
330,Doncaster,Legal Services,Rodda Legal,-37.7854657,145.1262194,,
333,Doncaster East,Legal Services,Plaza Legal,-37.7867889,145.1443952,,
334,Doncaster East,Legal Services,Sally Nicolazzo & Associates,-37.788426,145.14963,,
335,Doncaster East,Legal Services,Starnet Legal,-37.7892078,145.1597023,,
339,Doncaster East,Legal Services,Costanzo Lawyers Melbourne,-37.781112,145.163067,,
340,Doncaster East,Legal Services,Lawson Bayly Lawyers & Migration Agents,-37.7812,145.165652,,
341,Donvale - Park Orchards,Legal Services,Victorian Legal Solutions Pty Ltd,-37.7967126,145.1797823,,
343,Doreen,Legal Services,De Maria & Associates Pty Ltd,-37.5868162,145.1269005,,
344,Doveton,,Pool Coping Tiles,-38.000617,145.229631,,
345,Dromana,Legal Services,ALL State Conveyancing Services,-38.3325567,144.9678854,,
347,Dromana,,Sargeants Southern Peninsula,-38.3313932,144.9688435,,
348,Drouin,Legal Services,Wakefield Vogrig & Boote Lawyers,-38.1364611,145.8588969,,
349,Drouin,,Property Conveyancing Group,-38.1369135,145.858201,,
350,Drouin,,Mka Hamilton & Telford,-38.1371864,145.8582923,,
351,Drysdale,Legal Services,KG Lawyers,-38.171927,144.570881,,
352,Ivanhoe East - Eaglemont,Legal Services,Crea Legal,-37.763553,145.054317,,
353,Edithvale - Aspendale,Legal Services,James McConvill & Associates,-38.0445292,145.113471,,
354,Elphinstone,Legal Services,Mount Alexander Conveyancing Services,-37.111354,144.330079,,
355,Eltham,Legal Services,Lorraine Jones & Associates,-37.715347,145.148241,,
356,Eltham,Legal Services,Carew Gartlan McClelland,-37.713719,145.149171,,
357,Eltham,Legal Services,Bruce Arthur And Associates,-37.715515,145.150006,,
361,Elwood,Legal Services,Ampersand & Ampersand Pty Ltd - Ampersand Legal & Ampersand Promotions,-37.875084,144.978312,,
362,Emerald - Cockatoo,Legal Services,KLR Legal Services,-37.9296558,145.4449306,,
363,Emerald - Cockatoo,Legal Services,Falcone & Adams,-37.9317358,145.4415796,,
364,Emerald - Cockatoo,Legal Services,Buy and Sell Conveyancing Services,-37.930122,145.443843,,
365,Emerald - Cockatoo,Legal Services,AAB Lawyers,-37.929696,145.4452391,,
366,Endeavour Hills,Legal Services,Kearney Stephen & Associates,-37.977982,145.261326,,
367,Epping,Legal Services,Waters & Co. Lawyers,-37.649981,145.025295,,
368,Epping,Legal Services,Ryan Carlisle Thomas Lawyers,-37.644417,145.0259099,,
369,Epping,Legal Services,Slater and Gordon Lawyers,-37.659182,145.020139,,
370,Epping,Legal Services,Adviceline Injury Lawyers,-37.653731,145.020175,,
371,Epping,Legal Services,Shine Lawyers,-37.6517923,145.0186358,,
375,Epping,Legal Services,D & M Lawyers,-37.6498873,145.0247656,,
376,Essendon - Aberfeldie,Legal Services,Prompt Legal Services,-37.739025,144.896463,,
377,Essendon - Aberfeldie,Legal Services,Graham Legal,-37.746019,144.9106887,,
378,Essendon - Aberfeldie,Legal Services,McNab McNab & Starke Lawyers,-37.744266,144.909092,,
379,Essendon - Aberfeldie,Legal Services,Wills At Your Home Wills Essendon,-37.753125,144.909545,,
380,Essendon - Aberfeldie,Legal Services,Hughes Legal,-37.738526,144.894829,,
381,Essendon - Aberfeldie,Legal Services,Robert M Phelan & Co,-37.755911,144.911378,,
382,Essendon - Aberfeldie,Legal Services,NANSCAWEN LAWYERS,-37.75554,144.919807,,
383,Essendon - Aberfeldie,Legal Services,Nicholas James Lawyers,-37.755848,144.918686,,
387,Essendon North,Legal Services,Anderson Law Legal Practitioners,-37.743799,144.909242,,
388,Alphington - Fairfield,Legal Services,Dellios West & Co,-37.777159,145.018784,,
389,Ferntree Gully,Legal Services,Mountain Gate Legal,-37.8843424,145.2738885,,
390,Ferntree Gully,Legal Services,Zenith Lawyers & Consultants,-37.881572,145.279289,,
392,Ferntree Gully,Legal Services,Anderson Partners,-37.888531,145.292701,,
394,Ferntree Gully,Legal Services,Argyle Conveyancing Services Pty Ltd,-37.8816026,145.2751183,,
395,Fitzroy,Legal Services,Fitzroy Legal Service,-37.8019104,144.9795413,,
397,West Footscray - Tottenham,Legal Services,Nzenza Legal and Migration Services,-37.7988161,144.9013918,,
398,West Footscray - Tottenham,Legal Services,Norton Legal,-37.8105773,144.8991998,,
399,West Footscray - Tottenham,Legal Services,Practical Legal Solutions,-37.806627,144.906183,,
401,Frankston,Legal Services,Victoria Legal Aid,-38.1389543,145.1274402,,
402,Frankston,Legal Services,Justice Crew Legal Services,-38.144483,145.124248,,
403,Frankston,Legal Services,White Cleland,-38.14315,145.120508,,
404,Frankston,Legal Services,Hayes & Associates,-38.13396,145.123884,,
405,Frankston,Legal Services,Denise Dwyer Lawyers,-38.137548,145.1240054,,
407,Frankston,Legal Services,Allied Lawyers & Conveyancing,-38.1440746,145.1210277,,
409,Frankston,Legal Services,Willerby's Solicitors & Conveyancers,-38.1389558,145.1227199,,
410,Frankston,Legal Services,PCL Lawyers Frankston,-38.142245,145.121547,,
